Zeit;Kanal A
(ms);(V)

-4,95909405;1,03115800
-4,95899005;1,03115800
-4,95888605;0,98440580
-4,95878205;1,03115800
-4,95867805;0,98440580
-4,95857405;1,03115800
-4,95847005;1,03115800
-4,95836605;1,03115800
-4,95826205;1,03115800
-4,95815805;1,03115800
-4,95805405;1,03115800
-4,95795005;1,03115800
-4,95784605;1,03115800
-4,95774205;1,03115800
-4,95763805;1,03115800
-4,95753405;1,03115800
-4,95743005;1,07806300
-4,95732605;1,03115800
-4,95722205;1,03115800
-4,95711805;1,03115800
-4,95701405;1,03115800
-4,95691005;1,03115800
-4,95680605;1,03115800
-4,95670205;0,98440580
-4,95659805;1,03115800
-4,95649405;0,98440580
-4,95639005;1,03115800
-4,95628605;1,03115800
-4,95618205;1,03115800
-4,95607805;1,03115800
-4,95597405;1,03115800
-4,95587005;1,03115800
-4,95576605;1,03115800
-4,95566205;1,03115800
-4,95555805;1,03115800
-4,95545405;1,03115800
-4,95535005;1,07806300
-4,95524605;1,07806300
-4,95514205;1,07806300
-4,95503805;1,03115800
-4,95493405;1,03115800
-4,95483005;1,03115800
-4,95472605;1,03115800
-4,95462205;1,03115800
-4,95451805;1,03115800
-4,95441405;1,03115800
-4,95431005;1,03115800
-4,95420605;0,98440580
-4,95410205;1,03115800
-4,95399805;1,03115800
-4,95389405;1,03115800
-4,95379005;1,03115800
-4,95368605;1,03115800
-4,95358205;1,03115800
-4,95347805;1,03115800
-4,95337405;1,03115800
-4,95327005;1,03115800
-4,95316605;1,07806300
-4,95306205;1,07806300
-4,95295805;1,03115800
-4,95285405;1,03115800
-4,95275005;1,03115800
-4,95264605;1,03115800
-4,95254205;1,03115800
-4,95243805;1,03115800
-4,95233405;1,03115800
-4,95223005;0,98440580
-4,95212605;0,98440580
-4,95202205;1,03115800
-4,95191805;1,03115800
-4,95181405;0,98440580
-4,95171005;1,03115800
-4,95160605;1,07806300
-4,95150205;1,03115800
-4,95139805;1,03115800
-4,95129405;1,03115800
-4,95119005;1,03115800
-4,95108605;1,03115800
-4,95098205;1,03115800
-4,95087805;1,07806300
-4,95077405;1,03115800
-4,95067005;1,03115800
-4,95056605;1,07806300
-4,95046205;1,03115800
-4,95035805;1,03115800
-4,95025405;1,03115800
-4,95015005;1,07806300
-4,95004605;1,03115800
-4,94994205;1,03115800
-4,94983805;1,03115800
-4,94973405;1,03115800
-4,94963005;1,03115800
-4,94952605;1,03115800
-4,94942205;1,03115800
-4,94931805;1,03115800
-4,94921405;1,03115800
-4,94911005;1,03115800
-4,94900605;1,03115800
-4,94890205;1,03115800
-4,94879805;1,12496900
-4,94869405;1,07806300
-4,94859005;1,03115800
-4,94848605;1,03115800
-4,94838205;1,07806300
-4,94827805;1,07806300
-4,94817405;1,03115800
-4,94807005;1,03115800
-4,94796605;0,98440580
-4,94786205;1,03115800
-4,94775805;1,03115800
-4,94765405;1,03115800
-4,94755005;0,98440580
-4,94744605;0,98440580
-4,94734205;1,03115800
-4,94723805;1,03115800
-4,94713405;1,03115800
-4,94703005;1,03115800
-4,94692605;1,03115800
-4,94682205;1,07806300
-4,94671805;1,03115800
-4,94661405;1,03115800
-4,94651005;1,03115800
-4,94640605;1,03115800
-4,94630205;1,07806300
-4,94619805;1,07806300
-4,94609405;1,07806300
-4,94599005;1,03115800
-4,94588605;1,03115800
-4,94578205;1,03115800
-4,94567805;1,03115800
-4,94557405;0,98440580
-4,94547005;1,03115800
-4,94536605;1,03115800
-4,94526205;0,98440580
-4,94515805;0,98440580
-4,94505405;1,03115800
-4,94495005;1,03115800
-4,94484605;1,03115800
-4,94474205;1,03115800
-4,94463805;1,03115800
-4,94453405;1,03115800
-4,94443005;1,03115800
-4,94432605;1,03115800
-4,94422205;1,03115800
-4,94411805;1,03115800
-4,94401405;1,03115800
-4,94391005;1,03115800
-4,94380605;1,03115800
-4,94370205;1,03115800
-4,94359805;1,03115800
-4,94349405;1,03115800
-4,94339005;1,03115800
-4,94328605;1,03115800
-4,94318205;0,98440580
-4,94307805;1,03115800
-4,94297405;1,03115800
-4,94287005;1,03115800
-4,94276605;1,03115800
-4,94266205;1,03115800
-4,94255805;1,03115800
-4,94245405;1,03115800
-4,94235005;1,03115800
-4,94224605;1,07806300
-4,94214205;1,07806300
-4,94203805;1,03115800
-4,94193405;1,07806300
-4,94183005;1,03115800
-4,94172605;1,03115800
-4,94162205;1,03115800
-4,94151805;0,98440580
