Zeit;Kanal A
(ms);(V)

-4,92090265;1,07806300
-4,92079865;1,07806300
-4,92069465;1,07806300
-4,92059065;1,07806300
-4,92048665;1,07806300
-4,92038265;1,07806300
-4,92027865;1,07806300
-4,92017465;1,07806300
-4,92007065;1,07806300
-4,91996665;1,12496900
-4,91986265;1,07806300
-4,91975865;1,12496900
-4,91965465;1,07806300
-4,91955065;1,07806300
-4,91944665;1,07806300
-4,91934265;1,07806300
-4,91923865;1,07806300
-4,91913465;1,07806300
-4,91903065;1,07806300
-4,91892665;1,07806300
-4,91882265;1,07806300
-4,91871865;1,07806300
-4,91861465;1,07806300
-4,91851065;1,07806300
-4,91840665;1,07806300
-4,91830265;1,07806300
-4,91819865;1,07806300
-4,91809465;1,07806300
-4,91799065;1,03115800
-4,91788665;1,07806300
-4,91778265;1,07806300
-4,91767865;1,07806300
-4,91757465;1,07806300
-4,91747065;1,07806300
-4,91736665;1,07806300
-4,91726265;1,07806300
-4,91715865;1,07806300
-4,91705465;1,07806300
-4,91695065;1,07806300
-4,91684665;1,07806300
-4,91674265;1,07806300
-4,91663865;1,07806300
-4,91653465;1,07806300
-4,91643065;1,07806300
-4,91632665;1,07806300
-4,91622265;1,07806300
-4,91611865;1,07806300
-4,91601465;1,07806300
-4,91591065;1,07806300
-4,91580665;1,07806300
-4,91570265;1,07806300
-4,91559865;1,12496900
-4,91549465;1,07806300
-4,91539065;1,07806300
-4,91528665;1,07806300
-4,91518265;1,07806300
-4,91507865;1,07806300
-4,91497465;1,07806300
-4,91487065;1,07806300
-4,91476665;1,12496900
-4,91466265;1,12496900
-4,91455865;1,07806300
-4,91445465;1,07806300
-4,91435065;1,07806300
-4,91424665;1,07806300
-4,91414265;1,07806300
-4,91403865;1,07806300
-4,91393465;1,07806300
-4,91383065;1,07806300
-4,91372665;1,07806300
-4,91362265;1,07806300
-4,91351865;1,12496900
-4,91341465;1,07806300
-4,91331065;1,12496900
-4,91320665;1,07806300
-4,91310265;1,07806300
-4,91299865;1,07806300
-4,91289465;1,07806300
-4,91279065;1,07806300
-4,91268665;1,03115800
-4,91258265;1,07806300
-4,91247865;1,07806300
-4,91237465;1,07806300
-4,91227065;1,07806300
-4,91216665;1,07806300
-4,91206265;1,07806300
-4,91195865;1,07806300
-4,91185465;1,07806300
-4,91175065;1,07806300
-4,91164665;1,12496900
-4,91154265;1,07806300
-4,91143865;1,07806300
-4,91133465;1,07806300
-4,91123065;1,12496900
-4,91112665;1,07806300
-4,91102265;1,07806300
-4,91091865;1,07806300
-4,91081465;1,12496900
-4,91071065;1,07806300
-4,91060665;1,07806300
-4,91050265;1,07806300
-4,91039865;1,07806300
-4,91029465;1,07806300
-4,91019065;1,12496900
-4,91008665;1,07806300
-4,90998265;1,07806300
-4,90987865;1,07806300
-4,90977465;1,07806300
-4,90967065;1,07806300
-4,90956665;1,07806300
-4,90946265;1,07806300
-4,90935865;1,07806300
-4,90925465;1,07806300
-4,90915065;1,07806300
-4,90904665;1,07806300
