Zeit;Kanal A
(ms);(mV)

-23,21666576;1,86146600
-23,21166576;0,93073320
-23,20666576;1,30290300
-23,20166576;1,86146600
-23,19666576;1,11712600
-23,19166576;1,86146600
-23,18666576;1,86146600
-23,18166576;1,67568900
-23,17666576;2,04785900
-23,17166576;1,48929600
-23,16666576;1,48929600
-23,16166576;2,60642200
-23,15666577;1,48929600
-23,15166577;1,86146600
-23,14666577;1,86146600
-23,14166577;2,42002900
-23,13666577;1,67568900
-23,13166577;1,86146600
-23,12666577;1,86146600
-23,12166577;1,86146600
-23,11666577;1,86146600
-23,11166577;1,86146600
-23,10666577;2,04785900
-23,10166577;1,67568900
-23,09666577;2,42002900
-23,09166577;2,04785900
-23,08666577;1,48929600
-23,08166577;1,86146600
-23,07666577;1,11712600
-23,07166577;1,48929600
-23,06666577;1,67568900
-23,06166577;1,11712600
-23,05666577;1,48929600
-23,05166577;0,93073320
-23,04666577;0,93073320
-23,04166577;1,11712600
-23,03666577;0,93073320
-23,03166577;1,86146600
-23,02666577;1,11712600
-23,02166577;0,55856290
-23,01666577;1,48929600
-23,01166577;0,93073320
-23,00666577;0,74434050
-23,00166577;0,18577760
-22,99666577;0,00000000
-22,99166577;0,37217020
-22,98666577;0,18577760
-22,98166577;0,37217020
-22,97666577;-1,30290300
-22,97166577;-0,37217020
-22,96666577;-0,93073320
-22,96166577;-0,18577760
-22,95666577;-0,74434050
-22,95166577;0,00000000
-22,94666577;-0,37217020
-22,94166577;-1,30290300
-22,93666577;-1,30290300
-22,93166577;-2,23425200
-22,92666577;-2,04785900
-22,92166577;-0,93073320
-22,91666577;-2,04785900
-22,91166577;-2,23425200
-22,90666577;-2,97859200
-22,90166577;-4,09571800
-22,89666577;-3,72354800
-22,89166577;-4,65428200
-22,88666577;-5,39923700
-22,88166577;-5,77140700
-22,87666577;-6,70275500
-22,87166577;-7,26131900
-22,86666577;-7,07492600
-22,86166577;-7,63348900
-22,85666577;-8,37844500
-22,85166577;-9,12278500
-22,84666577;-8,75061500
-22,84166577;-8,19205200
-22,83666577;-8,19205200
-22,83166577;-7,81988100
-22,82666577;-7,44709600
-22,82166577;-5,95780000
-22,81666577;-5,58562900
-22,81166577;-4,46850300
-22,80666577;-3,53715500
-22,80166577;-2,97859200
-22,79666577;-2,97859200
-22,79166577;-2,23425200
-22,78666577;-2,23425200
-22,78166577;-1,30290300
-22,77666577;-2,23425200
-22,77166577;-2,79281500
-22,76666577;-2,23425200
-22,76166578;-2,97859200
-22,75666578;-3,53715500
-22,75166578;-3,35137800
-22,74666578;-3,16498500
-22,74166578;-3,90994000
-22,73666578;-3,35137800
-22,73166578;-2,42002900
-22,72666578;-2,04785900
-22,72166578;-1,67568900
-22,71666578;-2,04785900
-22,71166578;-1,67568900
-22,70666578;-1,86146600
-22,70166578;-1,30290300
-22,69666578;-1,30290300
-22,69166578;-2,23425200
-22,68666578;-2,04785900
-22,68166578;-2,42002900
-22,67666578;-3,35137800
-22,67166578;-3,72354800
-22,66666578;-4,09571800
-22,66166578;-4,65428200
-22,65666578;-4,46850300
-22,65166578;-3,72354800
-22,64666578;-4,09571800
-22,64166578;-4,28211100
-22,63666578;-3,16498500
-22,63166578;-2,60642200
-22,62666578;-2,97859200
-22,62166578;-1,67568900
-22,61666578;-1,86146600
-22,61166578;-2,04785900
-22,60666578;-1,67568900
-22,60166578;-1,11712600
-22,59666578;-1,86146600
-22,59166578;-2,42002900
-22,58666578;-2,23425200
-22,58166578;-2,60642200
-22,57666578;-2,23425200
-22,57166578;-2,97859200
-22,56666578;-2,60642200
-22,56166578;-2,04785900
-22,55666578;-2,23425200
-22,55166578;-1,30290300
-22,54666578;-1,30290300
-22,54166578;-1,30290300
-22,53666578;0,00000000
-22,53166578;0,93073320
-22,52666578;0,74434050
-22,52166578;1,67568900
-22,51666578;2,04785900
-22,51166578;2,97859200
-22,50666578;2,42002900
-22,50166578;2,42002900
-22,49666578;2,60642200
-22,49166578;3,16498500
-22,48666578;3,35137800
-22,48166578;3,53715500
-22,47666578;2,97859200
-22,47166578;2,97859200
-22,46666578;2,60642200
-22,46166578;2,97859200
-22,45666578;3,35137800
-22,45166578;3,16498500
-22,44666578;3,35137800
-22,44166578;3,90994000
-22,43666578;2,42002900
-22,43166578;2,97859200
-22,42666578;2,97859200
-22,42166578;3,72354800
-22,41666578;2,97859200
-22,41166578;2,60642200
-22,40666578;2,97859200
-22,40166578;2,79281500
-22,39666578;2,42002900
-22,39166578;2,42002900
-22,38666578;2,97859200
-22,38166578;1,86146600
-22,37666578;2,42002900
-22,37166578;1,86146600
-22,36666579;2,23425200
-22,36166579;2,04785900
-22,35666579;1,86146600
-22,35166579;2,42002900
-22,34666579;1,86146600
-22,34166579;2,04785900
-22,33666579;2,23425200
-22,33166579;2,23425200
-22,32666579;1,48929600
-22,32166579;2,04785900
-22,31666579;1,86146600
-22,31166579;1,67568900
-22,30666579;2,04785900
-22,30166579;2,23425200
-22,29666579;2,04785900
-22,29166579;2,42002900
-22,28666579;2,04785900
-22,28166579;1,48929600
-22,27666579;1,67568900
-22,27166579;0,93073320
-22,26666579;0,93073320
-22,26166579;1,30290300
-22,25666579;0,93073320
-22,25166579;0,93073320
-22,24666579;0,74434050
-22,24166579;0,00000000
-22,23666579;-0,37217020
-22,23166579;-0,74434050
-22,22666579;-0,74434050
-22,22166579;-0,37217020
-22,21666579;-0,37217020
-22,21166579;-0,55856290
-22,20666579;-0,74434050
-22,20166579;-0,74434050
-22,19666579;-1,30290300
-22,19166579;-0,37217020
-22,18666579;0,00000000
-22,18166579;-0,55856290
-22,17666579;0,18577760
-22,17166579;-0,93073320
-22,16666579;-0,55856290
-22,16166579;-0,93073320
-22,15666579;-1,30290300
-22,15166579;-0,93073320
-22,14666579;-0,18577760
-22,14166579;-0,74434050
-22,13666579;-1,67568900
-22,13166579;-1,67568900
-22,12666579;-1,30290300
-22,12166579;-1,30290300
-22,11666579;-1,67568900
-22,11166579;-1,30290300
-22,10666579;-1,67568900
-22,10166579;-1,30290300
-22,09666579;-1,30290300
-22,09166579;-0,74434050
-22,08666579;-1,30290300
-22,08166579;0,37217020
-22,07666579;-1,11712600
-22,07166579;-1,30290300
-22,06666579;-1,67568900
-22,06166579;-1,67568900
-22,05666579;-1,86146600
-22,05166579;-2,23425200
-22,04666579;-2,79281500
-22,04166579;-2,97859200
-22,03666579;-3,16498500
-22,03166579;-3,16498500
-22,02666579;-3,53715500
-22,02166579;-4,09571800
-22,01666579;-3,90994000
-22,01166579;-3,35137800
-22,00666579;-4,28211100
-22,00166579;-3,90994000
-21,99666579;-4,09571800
-21,99166579;-4,09571800
-21,98666579;-4,46850300
-21,98166579;-4,84067400
-21,97666579;-4,28211100
-21,97166580;-5,21284400
-21,96666580;-5,95780000
-21,96166580;-5,58562900
-21,95666580;-5,95780000
-21,95166580;-6,70275500
-21,94666580;-6,51636300
-21,94166580;-7,26131900
-21,93666580;-7,26131900
-21,93166580;-7,63348900
-21,92666580;-6,70275500
-21,92166580;-6,88853300
-21,91666580;-6,88853300
-21,91166580;-6,14419300
-21,90666580;-6,88853300
-21,90166580;-5,39923700
-21,89666580;-5,02706700
-21,89166580;-5,02706700
-21,88666580;-4,46850300
-21,88166580;-4,09571800
-21,87666580;-4,46850300
-21,87166580;-3,90994000
-21,86666580;-4,28211100
-21,86166580;-4,46850300
-21,85666580;-4,09571800
-21,85166580;-4,28211100
-21,84666580;-4,46850300
-21,84166580;-3,90994000
-21,83666580;-4,46850300
-21,83166580;-3,90994000
-21,82666580;-4,28211100
-21,82166580;-4,46850300
-21,81666580;-3,90994000
-21,81166580;-4,09571800
-21,80666580;-4,09571800
-21,80166580;-4,65428200
-21,79666580;-4,09571800
-21,79166580;-4,09571800
-21,78666580;-3,90994000
-21,78166580;-4,46850300
-21,77666580;-4,84067400
-21,77166580;-4,84067400
-21,76666580;-4,65428200
-21,76166580;-5,77140700
-21,75666580;-5,95780000
-21,75166580;-5,77140700
-21,74666580;-5,95780000
-21,74166580;-5,58562900
-21,73666580;-6,32997000
-21,73166580;-5,95780000
-21,72666580;-5,58562900
-21,72166580;-5,39923700
-21,71666580;-5,02706700
-21,71166580;-3,90994000
-21,70666580;-3,72354800
-21,70166580;-3,16498500
-21,69666580;-2,23425200
-21,69166580;-2,79281500
-21,68666580;-2,60642200
-21,68166580;-1,67568900
-21,67666580;-2,04785900
-21,67166580;-2,04785900
-21,66666580;-1,67568900
-21,66166580;-1,86146600
-21,65666580;-0,74434050
-21,65166580;-0,74434050
-21,64666580;-0,74434050
-21,64166580;-1,30290300
-21,63666580;1,48929600
-21,63166580;-0,18577760
-21,62666580;0,93073320
-21,62166580;1,48929600
-21,61666580;1,48929600
-21,61166580;2,79281500
-21,60666580;2,23425200
-21,60166580;2,97859200
-21,59666580;2,97859200
-21,59166580;2,97859200
-21,58666580;3,72354800
-21,58166580;2,79281500
-21,57666581;2,60642200
-21,57166581;3,35137800
-21,56666581;2,42002900
-21,56166581;4,28211100
-21,55666581;2,79281500
-21,55166581;2,79281500
-21,54666581;2,97859200
-21,54166581;2,79281500
